Timestamp,តើអ្នកមានភេទអ្វី?,តើអ្នកមានអាយុប៉ុន្មាន?​​ (សូមបញ្ចូលជាលេខឡាតាំង),តើសព្វថ្ញៃអ្នកមានមុខរបរជាអ្វី?,តើជាធម្មតា​ អ្នកទទួលបានសេវាថែទាំសុខភាពពីមន្ទីរពេទ្យរដ្ឋ ឬឯកជន?,តើជាធម្មតាអ្នកត្រូវរង់ចាំរយៈពេលប៉ុន្មានដើម្បីទទួលបានការថែទាំសុខភាព? (Ex: 1:30 មួយម៉ោងកន្លះ),តើអ្នកមានប្រាក់ចំណូលប៉ុន្មានក្នុងមួយខែគិតជាដុល្លារ?​ (បើសិនអ្នកជាសិស្ស សូមបញ្ចូលប្រាក់ចំណាយប្រចាំខែរបស់អ្នក),តើជាធម្មតា អ្នកចំណាយប្រាក់ប្រហែលជាប៉ុន្មានដែលទៅលើសុខភាពរបស់អ្នកប្រចាំខែដែរអ្នកឈឺ? (គិតជាដុល្លារ)
1/16/2024 14:59:39,1. ប្រុស,21,1. សិស្សានុសិស្ស,1. មន្ទីរពេទ្យរដ្ឋ,1,150$,30$
1/16/2024 14:59:45,1. ប្រុស,19,1. សិស្សានុសិស្ស,2. មន្ទីរពេទ្យឯកជន,កន្លះម៉ោង,200$,250$
1/16/2024 14:59:50,1. ប្រុស,22,1. សិស្សានុសិស្ស,2. មន្ទីរពេទ្យឯកជន,20mn,400000riels,10$
1/16/2024 14:59:57,1. ប្រុស,20,1. សិស្សានុសិស្ស,1. មន្ទីរពេទ្យរដ្ឋ,1 មួយម៉ោង,100$,10$
1/16/2024 15:00:02,2. ស្រី,19,1. សិស្សានុសិស្ស,2. មន្ទីរពេទ្យឯកជន,30,100,30
1/16/2024 15:00:02,1. ប្រុស,19,1. សិស្សានុសិស្ស,1. មន្ទីរពេទ្យរដ្ឋ,30 mn,30$,5$
1/16/2024 15:00:06,1. ប្រុស,19,1. សិស្សានុសិស្ស,2. មន្ទីរពេទ្យឯកជន,2:30,50$,20$
1/16/2024 15:00:32,1. ប្រុស,21,1. សិស្សានុសិស្ស,2. មន្ទីរពេទ្យឯកជន,4:00,30$,5$
1/16/2024 15:02:04,2. ស្រី,18,1. សិស្សានុសិស្ស,2. មន្ទីរពេទ្យឯកជន,30mn,250,5-10$
1/16/2024 15:02:26,1. ប្រុស,21,1. សិស្សានុសិស្ស,2. មន្ទីរពេទ្យឯកជន,2h,ចំណាយ200$/1m,20_30$
1/16/2024 15:02:32,2. ស្រី,20,1. សិស្សានុសិស្ស,1. មន្ទីរពេទ្យរដ្ឋ,1:45,ចំណាយប្រហែល100$/ខែ,30$
1/16/2024 15:03:11,1. ប្រុស,18,1. សិស្សានុសិស្ស,1. មន្ទីរពេទ្យរដ្ឋ,1:00,20$,20$
1/16/2024 15:03:14,2. ស្រី,18,1. សិស្សានុសិស្ស,2. មន្ទីរពេទ្យឯកជន,1ម៉ោង,100$/ខែ,50$/ខែ
1/16/2024 15:04:32,1. ប្រុស,20,1. សិស្សានុសិស្ស,1. មន្ទីរពេទ្យរដ្ឋ,1:30,1$,20$
1/16/2024 15:06:19,1. ប្រុស,18,1. សិស្សានុសិស្ស,2. មន្ទីរពេទ្យឯកជន,0:30,120,0
1/16/2024 15:06:30,1. ប្រុស,20,1. សិស្សានុសិស្ស,2. មន្ទីរពេទ្យឯកជន,1h,120$,7$
1/16/2024 15:06:44,1. ប្រុស,Hort kimmeng,1. សិស្សានុសិស្ស,1. មន្ទីរពេទ្យរដ្ឋ,2 ម៉ោង,200$,10$
1/16/2024 15:06:58,1. ប្រុស,18,1. សិស្សានុសិស្ស,2. មន្ទីរពេទ្យឯកជន,30,250$,5$
1/16/2024 15:07:07,1. ប្រុស,20,1. សិស្សានុសិស្ស,1. មន្ទីរពេទ្យរដ្ឋ,2,200$,50$
1/16/2024 15:07:40,1. ប្រុស,18,1. សិស្សានុសិស្ស,1. មន្ទីរពេទ្យរដ្ឋ,0:30 កន្លះម៉ោង,100$,5$
1/16/2024 15:07:48,1. ប្រុស,20,1. សិស្សានុសិស្ស,1. មន្ទីរពេទ្យរដ្ឋ,1:30,10$,20
1/16/2024 15:08:07,1. ប្រុស,Hun rozatine,1. សិស្សានុសិស្ស,2. មន្ទីរពេទ្យឯកជន,15mn,200,200
1/16/2024 15:09:02,1. ប្រុស,24,1. សិស្សានុសិស្ស,1. មន្ទីរពេទ្យរដ្ឋ,មួយម៉ោង,100$,30
1/16/2024 15:09:39,2. ស្រី,CHHENG SAVATEy,1. សិស្សានុសិស្ស,1. មន្ទីរពេទ្យរដ្ឋ,1:00,200000រៀល,20$
1/16/2024 15:10:15,1. ប្រុស,21,1. សិស្សានុសិស្ស,1. មន្ទីរពេទ្យរដ្ឋ,30,100,0
1/16/2024 15:11:10,1. ប្រុស,20,1. សិស្សានុសិស្ស,2. មន្ទីរពេទ្យឯកជន,30min,200$,0$
1/16/2024 15:11:19,1. ប្រុស,21,1. សិស្សានុសិស្ស,1. មន្ទីរពេទ្យរដ្ឋ,30mn,200,3
1/16/2024 15:11:38,1. ប្រុស,18,1. សិស្សានុសិស្ស,1. មន្ទីរពេទ្យរដ្ឋ,1:30,100$,20$
1/16/2024 15:11:53,2. ស្រី,21,1. សិស្សានុសិស្ស,2. មន្ទីរពេទ្យឯកជន,1:00,70$,15$
1/16/2024 15:12:44,1. ប្រុស,NOV MENGLEANG,1. សិស្សានុសិស្ស,2. មន្ទីរពេទ្យឯកជន,1. :00,100$,80$ - 120$
1/16/2024 15:13:02,1. ប្រុស,19,និស្សិត,1. មន្ទីរពេទ្យរដ្ឋ,30mn,ក,គ្មាន
1/16/2024 15:13:22,1. ប្រុស,18,1. សិស្សានុសិស្ស,1. មន្ទីរពេទ្យរដ្ឋ,1:30 ទៅ 2ម៉ោង,100$,20 $
1/16/2024 15:14:13,2. ស្រី,21,1. សិស្សានុសិស្ស,2. មន្ទីរពេទ្យឯកជន,30 mn,40ម៉ឺនជាង,អត់ដឹងដែរ
1/16/2024 15:14:52,1. ប្រុស,20,1. សិស្សានុសិស្ស,1. មន្ទីរពេទ្យរដ្ឋ,"1,2 hour",250,10000r
1/16/2024 15:14:54,1. ប្រុស,23,1. សិស្សានុសិស្ស,2. មន្ទីរពេទ្យឯកជន,1,200$,25$
1/16/2024 15:15:03,1. ប្រុស,23,1. សិស្សានុសិស្ស,1. មន្ទីរពេទ្យរដ្ឋ,30,150,10$
1/16/2024 15:15:05,1. ប្រុស,23,1. សិស្សានុសិស្ស,2. មន្ទីរពេទ្យឯកជន,5min,150,30
1/16/2024 15:15:33,1. ប្រុស,20,1. សិស្សានុសិស្ស,2. មន្ទីរពេទ្យឯកជន,2,100,10
1/16/2024 15:15:35,1. ប្រុស,23,1. សិស្សានុសិស្ស,2. មន្ទីរពេទ្យឯកជន,30 mn,$150,$5
1/16/2024 15:15:39,2. ស្រី,19,1. សិស្សានុសិស្ស,2. មន្ទីរពេទ្យឯកជន,1,100,5
1/16/2024 15:15:48,1. ប្រុស,22,1. សិស្សានុសិស្ស,1. មន្ទីរពេទ្យរដ្ឋ,1:30,0,5$
1/16/2024 15:16:55,2. ស្រី,19,1. សិស្សានុសិស្ស,2. មន្ទីរពេទ្យឯកជន,30mn,90$,5$
1/16/2024 15:17:01,1. ប្រុស,18,1. សិស្សានុសិស្ស,1. មន្ទីរពេទ្យរដ្ឋ,1:00,200$,20$-50$
1/16/2024 15:17:22,1. ប្រុស,21,1. សិស្សានុសិស្ស,1. មន្ទីរពេទ្យរដ្ឋ,2,150$,5$
1/16/2024 15:17:39,1. ប្រុស,22,1. សិស្សានុសិស្ស,2. មន្ទីរពេទ្យឯកជន,10mn,150$,10$
1/16/2024 15:19:14,2. ស្រី,18,1. សិស្សានុសិស្ស,1. មន្ទីរពេទ្យរដ្ឋ,1:30 ,ប្រហែល 100$,50$
1/16/2024 15:19:22,2. ស្រី,18,1. សិស្សានុសិស្ស,1. មន្ទីរពេទ្យរដ្ឋ,2ម៉ោង,30មុឺន,50$
1/16/2024 15:20:01,2. ស្រី,20,1. សិស្សានុសិស្ស,2. មន្ទីរពេទ្យឯកជន,30,100$,200
1/16/2024 15:21:31,2. ស្រី,21,1. សិស្សានុសិស្ស,1. មន្ទីរពេទ្យរដ្ឋ,2:00,100$,10$
1/16/2024 15:21:40,2. ស្រី,Reaksmey,1. សិស្សានុសិស្ស,2. មន្ទីរពេទ្យឯកជន,15mn,100,10$
1/16/2024 15:21:42,2. ស្រី,19,1. សិស្សានុសិស្ស,1. មន្ទីរពេទ្យរដ្ឋ,1h,160$,15$
1/16/2024 15:22:29,1. ប្រុស,20,1. សិស្សានុសិស្ស,2. មន្ទីរពេទ្យឯកជន,5-10 នាទី,160$,10-15$
1/16/2024 15:22:46,2. ស្រី,19,1. សិស្សានុសិស្ស,1. មន្ទីរពេទ្យរដ្ឋ,30mn,150$,50$
1/16/2024 15:22:55,2. ស្រី,21,1. សិស្សានុសិស្ស,1. មន្ទីរពេទ្យរដ្ឋ,2,100$,10$
1/16/2024 15:24:04,2. ស្រី,20,1. សិស្សានុសិស្ស,2. មន្ទីរពេទ្យឯកជន,15mn,150$,10$
1/16/2024 15:24:46,2. ស្រី,18,1. សិស្សានុសិស្ស,2. មន្ទីរពេទ្យឯកជន,1ម៉ោង,100$,10$
1/16/2024 15:24:46,1. ប្រុស,KRIH MAKARA ,1. សិស្សានុសិស្ស,2. មន្ទីរពេទ្យឯកជន,30នាទី,២០០$,២០$
1/16/2024 15:25:19,2. ស្រី,20,1. សិស្សានុសិស្ស,2. មន្ទីរពេទ្យឯកជន,២០នាទី,150,10
1/16/2024 15:26:39,2. ស្រី,18,1. សិស្សានុសិស្ស,1. មន្ទីរពេទ្យរដ្ឋ,តាមចំនួនមនុស្សយ៉ាងយូ2ម៉ោង,60,10$
1/16/2024 15:26:47,2. ស្រី,18,1. សិស្សានុសិស្ស,2. មន្ទីរពេទ្យឯកជន,1,150$,100$
1/16/2024 15:27:18,2. ស្រី,18,1. សិស្សានុសិស្ស,1. មន្ទីរពេទ្យរដ្ឋ,1,300,5
1/16/2024 15:28:38,1. ប្រុស,17,1. សិស្សានុសិស្ស,2. មន្ទីរពេទ្យឯកជន,5-30 minutes ,200$/moth,15-50$
1/16/2024 15:29:11,2. ស្រី,19,1. សិស្សានុសិស្ស,2. មន្ទីរពេទ្យឯកជន,30min,100$,5$
1/16/2024 15:29:03,1. ប្រុស,19,1. សិស្សានុសិស្ស,2. មន្ទីរពេទ្យឯកជន,១ម៉ោង,100$,5$
1/16/2024 15:29:16,1. ប្រុស,21,1. សិស្សានុសិស្ស,2. មន្ទីរពេទ្យឯកជន,5នាទី,350,0
1/16/2024 15:29:28,2. ស្រី,19,1. សិស្សានុសិស្ស,2. មន្ទីរពេទ្យឯកជន,10-30នាទី,100-150$,5-10$
1/16/2024 15:30:14,1. ប្រុស,VEN SOKKORNG ,1. សិស្សានុសិស្ស,2. មន្ទីរពេទ្យឯកជន,1ម៉ោង,0,៥០$
1/16/2024 15:31:55,2. ស្រី,20,1. សិស្សានុសិស្ស,2. មន្ទីរពេទ្យឯកជន,30ម៉ោង,250$,10$
1/16/2024 15:32:03,2. ស្រី,YUN LIZA ,1. សិស្សានុសិស្ស,2. មន្ទីរពេទ្យឯកជន,30mn,0,10$
1/16/2024 15:32:10,2. ស្រី,18,1. សិស្សានុសិស្ស,1. មន្ទីរពេទ្យរដ្ឋ,1:30,80$,100$
1/16/2024 15:32:15,2. ស្រី,16,1. សិស្សានុសិស្ស,1. មន្ទីរពេទ្យរដ្ឋ,1h,100$,45$
1/16/2024 15:32:32,1. ប្រុស,19,1. សិស្សានុសិស្ស,1. មន្ទីរពេទ្យរដ្ឋ,30,500000៛,150000៛
1/16/2024 15:32:56,1. ប្រុស,18,1. សិស្សានុសិស្ស,2. មន្ទីរពេទ្យឯកជន,កន្លះម៉ោង,100$,5$
1/16/2024 15:33:08,1. ប្រុស,070907695,1. សិស្សានុសិស្ស,2. មន្ទីរពេទ្យឯកជន,30នាទី,200$ ក្នុង១ខែ,10$
1/16/2024 15:33:10,1. ប្រុស,18,1. សិស្សានុសិស្ស,2. មន្ទីរពេទ្យឯកជន,1h,100$,50$
1/16/2024 15:33:15,1. ប្រុស,17,1. សិស្សានុសិស្ស,1. មន្ទីរពេទ្យរដ្ឋ,1:30 មួយម៉ោងកន្លះ,120$,10$
1/16/2024 15:33:15,2. ស្រី,17,1. សិស្សានុសិស្ស,2. មន្ទីរពេទ្យឯកជន,1 មួយម៉ោង,100$,15$
1/16/2024 15:33:19,2. ស្រី,18,1. សិស្សានុសិស្ស,1. មន្ទីរពេទ្យរដ្ឋ,1:00 មួយម៉ោង,100$/1ខែ,12.5$
1/16/2024 15:33:35,1. ប្រុស,20,1. សិស្សានុសិស្ស,2. មន្ទីរពេទ្យឯកជន,1h,150$,10$
1/16/2024 15:33:51,1. ប្រុស,22,1. សិស្សានុសិស្ស,2. មន្ទីរពេទ្យឯកជន,20នាទី,៤០ម៉ឺន,៤$
1/16/2024 15:34:31,1. ប្រុស,20,1. សិស្សានុសិស្ស,2. មន្ទីរពេទ្យឯកជន,30min,150$,30$
1/16/2024 15:34:57,1. ប្រុស,Vuth Panha,1. សិស្សានុសិស្ស,1. មន្ទីរពេទ្យរដ្ឋ,1:20,100,100
1/16/2024 15:35:16,2. ស្រី,17,1. សិស្សានុសិស្ស,1. មន្ទីរពេទ្យរដ្ឋ,2ម៉ោង,60&-70$,5$
1/16/2024 15:36:24,1. ប្រុស,21,1. សិស្សានុសិស្ស,2. មន្ទីរពេទ្យឯកជន,30mn 1h,40$,30-40$
1/16/2024 15:37:02,1. ប្រុស,19,1. សិស្សានុសិស្ស,1. មន្ទីរពេទ្យរដ្ឋ,15នាទី,200$,30$
1/16/2024 15:37:40,1. ប្រុស,17,1. សិស្សានុសិស្ស,2. មន្ទីរពេទ្យឯកជន,10min,60$,1$
1/16/2024 15:42:14,1. ប្រុស,20,1. សិស្សានុសិស្ស,2. មន្ទីរពេទ្យឯកជន,30 minutes ,150$,10$
1/16/2024 15:48:08,1. ប្រុស,20,1. សិស្សានុសិស្ស,1. មន្ទីរពេទ្យរដ្ឋ,0:30 សាមសិបនាទី,១៥០ដុល្លា,២០ដុល្លា
1/16/2024 15:57:42,1. ប្រុស,23,1. សិស្សានុសិស្ស,2. មន្ទីរពេទ្យឯកជន,30 min,150$,10$
1/16/2024 16:36:25,2. ស្រី,20,1. សិស្សានុសិស្ស,1. មន្ទីរពេទ្យរដ្ឋ,30,175$,15$
1/16/2024 16:43:30,1. ប្រុស,25,1. សិស្សានុសិស្ស,1. មន្ទីរពេទ្យរដ្ឋ,1,50,50
1/16/2024 16:44:01,1. ប្រុស,18,4. អ្នករកស៊ី,2. មន្ទីរពេទ្យឯកជន,1,300,60
1/16/2024 16:44:52,1. ប្រុស,21,និស្សិត,2. មន្ទីរពេទ្យឯកជន,10 នាទី,100,15
1/16/2024 16:48:15,2. ស្រី,19,1. សិស្សានុសិស្ស,2. មន្ទីរពេទ្យឯកជន,10នាទី,100$,10$
1/16/2024 16:59:07,1. ប្រុស,21,1. សិស្សានុសិស្ស,2. មន្ទីរពេទ្យឯកជន,0:20,160,30
1/16/2024 17:08:30,1. ប្រុស,24,1. សិស្សានុសិស្ស,1. មន្ទីរពេទ្យរដ្ឋ,1h30mn,50 dollars ,20 dollars 
1/16/2024 17:09:47,1. ប្រុស,20,1. សិស្សានុសិស្ស,2. មន្ទីរពេទ្យឯកជន,1 hour,150$,30$
1/16/2024 17:17:46,1. ប្រុស,20,1. សិស្សានុសិស្ស,2. មន្ទីរពេទ្យឯកជន,1:00,150$,5$
1/16/2024 17:21:20,1. ប្រុស,20,1. សិស្សានុសិស្ស,1. មន្ទីរពេទ្យរដ្ឋ,1មួយម៉ោង,ចំណាយ: 100$/1ខែ,20$
1/16/2024 17:32:53,2. ស្រី,21,1. សិស្សានុសិស្ស,2. មន្ទីរពេទ្យឯកជន,1-2,250$,10-20$
1/16/2024 17:48:29,1. ប្រុស,21,1. សិស្សានុសិស្ស,2. មន្ទីរពេទ្យឯកជន,30mn,150$,10$
1/16/2024 17:49:18,1. ប្រុស,20,1. សិស្សានុសិស្ស,1. មន្ទីរពេទ្យរដ្ឋ,1 hour to 2 hours,150$,100$
1/16/2024 18:03:17,1. ប្រុស,18,1. សិស្សានុសិស្ស,2. មន្ទីរពេទ្យឯកជន,30នាទី,150$,20$
1/16/2024 20:05:22,1. ប្រុស,20,1. សិស្សានុសិស្ស,1. មន្ទីរពេទ្យរដ្ឋ,30mn,100$ ,5$
1/16/2024 22:50:14,1. ប្រុស,19,Student ,2. មន្ទីរពេទ្យឯកជន,30min,$200,$30
1/16/2024 23:02:19,1. ប្រុស,23,2. គ្រូបង្រៀន,2. មន្ទីរពេទ្យឯកជន,1h,100,10
1/16/2024 23:08:01,1. ប្រុស,20,1. សិស្សានុសិស្ស,2. មន្ទីរពេទ្យឯកជន,15mn,100,10
1/17/2024 7:55:38,2. ស្រី,20,1. សិស្សានុសិស្ស,2. មន្ទីរពេទ្យឯកជន,1 ម៉ោង,15$,3$
1/17/2024 9:53:34,2. ស្រី,21,1. សិស្សានុសិស្ស,2. មន្ទីរពេទ្យឯកជន,5mn,$150,$50
1/17/2024 12:10:23,1. ប្រុស,27,1. សិស្សានុសិស្ស,1. មន្ទីរពេទ្យរដ្ឋ,1h,200,15
1/17/2024 15:13:41,1. ប្រុស,17,jobless,1. មន្ទីរពេទ្យរដ្ឋ,1:30,4$,450$
1/17/2024 15:20:24,1. ប្រុស,17,1. សិស្សានុសិស្ស,1. មន្ទីរពេទ្យរដ្ឋ,1h,200$,25
1/17/2024 15:20:33,1. ប្រុស,17,1. សិស្សានុសិស្ស,1. មន្ទីរពេទ្យរដ្ឋ,30នាទី,200$,20$
1/17/2024 15:20:39,1. ប្រុស,17,1. សិស្សានុសិស្ស,2. មន្ទីរពេទ្យឯកជន,20mn,200$,30$
1/17/2024 15:21:45,2. ស្រី,17,និស្សិត,2. មន្ទីរពេទ្យឯកជន,10mn,$100,$30
1/17/2024 15:21:54,1. ប្រុស,18,សិស្សនិស្សិត,2. មន្ទីរពេទ្យឯកជន,2 hour,150$,100$
1/17/2024 15:24:42,1. ប្រុស,18,1. សិស្សានុសិស្ស,2. មន្ទីរពេទ្យឯកជន,1:35,200$,100$
1/17/2024 15:25:15,2. ស្រី,23,1. សិស្សានុសិស្ស,1. មន្ទីរពេទ្យរដ្ឋ,1h ,250$,0$ 
1/17/2024 15:25:41,2. ស្រី,21,1. សិស្សានុសិស្ស,1. មន្ទីរពេទ្យរដ្ឋ,1:30,150$,1000&
1/17/2024 15:25:47,2. ស្រី,22,1. សិស្សានុសិស្ស,2. មន្ទីរពេទ្យឯកជន,2h,200,10
1/17/2024 15:25:51,2. ស្រី,21,1. សិស្សានុសិស្ស,2. មន្ទីរពេទ្យឯកជន,30 minutes,320$,50$
1/17/2024 15:25:55,1. ប្រុស,22,1. សិស្សានុសិស្ស,2. មន្ទីរពេទ្យឯកជន,30mn,300,20-50
1/17/2024 15:26:26,2. ស្រី,21,1. សិស្សានុសិស្ស,1. មន្ទីរពេទ្យរដ្ឋ,1.3,100$,20
1/17/2024 15:26:35,2. ស្រី,22,1. សិស្សានុសិស្ស,1. មន្ទីរពេទ្យរដ្ឋ,30,200$,10$
1/17/2024 15:26:38,1. ប្រុស,23,1. សិស្សានុសិស្ស,1. មន្ទីរពេទ្យរដ្ឋ,1,200$ ,10$
1/17/2024 15:27:01,1. ប្រុស,19,1. សិស្សានុសិស្ស,1. មន្ទីរពេទ្យរដ្ឋ,1:40,100,10
1/17/2024 15:27:57,1. ប្រុស,19,1. សិស្សានុសិស្ស,2. មន្ទីរពេទ្យឯកជន,5mn,200$,10$
1/17/2024 15:31:38,2. ស្រី,19,1. សិស្សានុសិស្ស,2. មន្ទីរពេទ្យឯកជន,10នាទី,100$,5$
1/17/2024 15:33:01,2. ស្រី,18,និស្សិត,2. មន្ទីរពេទ្យឯកជន,10នាទី,150$/ខែ,30$
1/17/2024 15:33:26,2. ស្រី,17,និស្សិត,2. មន្ទីរពេទ្យឯកជន,10នាទី,100$,15$
1/17/2024 15:34:21,2. ស្រី,19,1. សិស្សានុសិស្ស,2. មន្ទីរពេទ្យឯកជន,30mn,150,10
1/17/2024 15:36:49,2. ស្រី,YORK SREYBOT ,1. សិស្សានុសិស្ស,2. មន្ទីរពេទ្យឯកជន,1:30,5$,10$
1/17/2024 15:37:31,2. ស្រី,21,1. សិស្សានុសិស្ស,2. មន្ទីរពេទ្យឯកជន,30mn,500$,10$
1/17/2024 15:38:02,2. ស្រី,18,1. សិស្សានុសិស្ស,1. មន្ទីរពេទ្យរដ្ឋ,30,350$,50$
1/17/2024 15:39:04,2. ស្រី,21,1. សិស្សានុសិស្ស,2. មន្ទីរពេទ្យឯកជន,15នាទី,50$,5$
1/17/2024 15:39:28,2. ស្រី,18,1. សិស្សានុសិស្ស,2. មន្ទីរពេទ្យឯកជន,5min,100$,5$
1/17/2024 15:41:22,2. ស្រី,21,និស្សិត,1. មន្ទីរពេទ្យរដ្ឋ,1ម៉ោង,200$,20$
1/17/2024 15:46:35,1. ប្រុស,20,1. សិស្សានុសិស្ស,2. មន្ទីរពេទ្យឯកជន,1h,100 USD,40 USD
1/17/2024 15:47:20,1. ប្រុស,21,2. គ្រូបង្រៀន,2. មន្ទីរពេទ្យឯកជន,1h,400$,20$
1/17/2024 15:52:36,1. ប្រុស,20,1. សិស្សានុសិស្ស,2. មន្ទីរពេទ្យឯកជន,20នាទី,55,20
1/17/2024 15:56:21,2. ស្រី,20ឆ្នាំ,1. សិស្សានុសិស្ស,2. មន្ទីរពេទ្យឯកជន,1ម៉ោង,180$,35$
1/17/2024 16:00:45,2. ស្រី,21,1. សិស្សានុសិស្ស,2. មន្ទីរពេទ្យឯកជន,1,150$,10$
1/17/2024 16:43:04,2. ស្រី,21,1. សិស្សានុសិស្ស,2. មន្ទីរពេទ្យឯកជន,30នាទីទៅ1ម៉ោង,400ដុល្លារ,15ដុល្លារ
1/17/2024 16:46:57,2. ស្រី,19,1. សិស្សានុសិស្ស,2. មន្ទីរពេទ្យឯកជន,"About 15 minutes, not specific it’s based on real situation ",About 200,About 15-50 or higher or lower based on condition 
1/17/2024 19:20:43,2. ស្រី,20,1. សិស្សានុសិស្ស,1. មន្ទីរពេទ្យរដ្ឋ,1,$100,$30
1/17/2024 23:09:25,1. ប្រុស,19,1. សិស្សានុសិស្ស,1. មន្ទីរពេទ្យរដ្ឋ,1:00,50$ ,20$
1/17/2024 23:14:24,2. ស្រី,18,1. សិស្សានុសិស្ស,2. មន្ទីរពេទ្យឯកជន,10នាទី,150$ ,10$ 
1/17/2024 23:16:48,2. ស្រី,19,និស្សិត​,2. មន្ទីរពេទ្យឯកជន,30mn-1:30h ,200$,5$ 
1/17/2024 23:18:21,1. ប្រុស,18,និសិត្ស,2. មន្ទីរពេទ្យឯកជន,1h,200,80
1/17/2024 23:18:22,1. ប្រុស,18,1. សិស្សានុសិស្ស,1. មន្ទីរពេទ្យរដ្ឋ,1ម៉ោង,100$,25$
1/17/2024 23:23:50,1. ប្រុស,20,1. សិស្សានុសិស្ស,1. មន្ទីរពេទ្យរដ្ឋ,1h,150,50
1/17/2024 23:30:47,2. ស្រី,18,1. សិស្សានុសិស្ស,1. មន្ទីរពេទ្យរដ្ឋ,1h,100$,5$
1/18/2024 19:56:43,1. ប្រុស,25,2. គ្រូបង្រៀន,1. មន្ទីរពេទ្យរដ្ឋ,1ម៉ោង,400,20
1/18/2024 23:22:14,1. ប្រុស,18,1. សិស្សានុសិស្ស,1. មន្ទីរពេទ្យរដ្ឋ,20,0$,5$
